,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
298,9938,0.0,2.1400001049,1.2799999714,3.0799999237,0.0,38,24,193,767,1,2019
301,11906,0.0,2.2599999905,1.5199999809,3.9900000095,0.0,32,27,234,688,1,2065
303,10461,0.0,4.7600002289,0.8500000238,2.25,0.0,99,31,142,721,1,3625
304,14873,0.0,8.1899995804,0.6000000238,2.3099999428,0.0,202,36,153,663,1,4430
305,9917,0.0,1.9900000095,0.9700000286,4.4400000572,0.0,58,27,240,700,1,3427
308,11080,0.0,3.1300001144,1.3700000048,3.8099999428,0.0,83,52,190,695,1,3765
311,10494,0.0,4.9099998474,0.7799999714,2.1500000954,0.0,123,62,138,601,1,3817
312,9776,0.0,2.9300000668,1.4299999475,3.0199999809,0.0,80,35,162,721,1,3378
315,19658,0.0,0.2399999946,2.0899999142,12.5100002289,0.0,3,30,475,466,1,2884
318,9910,0.0,0.0,0.0,7.4800000191,0.0,0,0,384,990,1,2445
319,12409,0.0,0.0,0.0,9.3699998856,0.0,0,0,491,388,1,2694
322,10789,0.0,0.0,0.0,8.1499996185,0.0,0,0,506,413,1,2617
338,9766,6.7270569801,0.0,0.0500000007,7.4600000381,0.0,0,6,301,1133,1,2442
348,11761,0.0,1.3099999428,2.4400000572,4.6799998283,0.0,24,99,300,550,1,3920
349,13987,0.0,2.8699998856,3.3399999142,3.8199999332,0.0,46,114,250,739,1,3856
352,15491,0.0,1.2899999619,4.4899997711,4.4600000381,0.0,18,77,272,641,1,2244
353,14097,0.0,3.5,1.9199999571,3.9000000954,0.0,50,32,234,595,1,2188
354,10467,0.0,0.6999999881,2.4300000668,3.8499999046,0.0,9,45,252,602,1,2014
355,12437,0.0,3.7599999905,1.2899999619,3.2400000095,0.0,50,24,219,732,1,2115
356,12307,0.0,1.0099999905,3.2599999905,3.8699998856,0.0,14,51,218,589,1,2055
357,18952,0.0,5.9099998474,1.2300000191,5.6599998474,0.0,73,20,327,570,1,2437
358,12010,0.0,2.3800001144,0.9499999881,4.6100001335,0.0,38,17,287,692,1,2158
359,12480,3.9727950096,4.1799998283,0.6899999976,4.0,0.0,55,14,276,593,1,2170
360,13417,1.9263019562,3.3900001049,1.25,4.9099998474,0.1000000015,45,16,284,665,1,2244
361,14400,5.4568638802,2.4700000286,2.8800001144,5.5300002098,0.0,27,37,276,697,1,2188
362,12495,0.0,2.2100000381,1.0900000334,4.9600000381,0.0,33,19,324,609,1,2231
363,10148,0.0,1.3600000143,0.2199999988,5.1300001144,0.0,19,7,306,679,1,2100
364,12362,2.6964550018,1.0900000334,2.7300000191,5.2699999809,0.0,21,38,297,678,1,2188
366,11680,4.9012827873,4.4899997711,0.3300000131,4.2399997711,0.0,50,7,244,1139,1,2573
367,10976,0.0,0.5500000119,0.6700000167,6.1300001144,0.0,9,16,271,1075,1,2575
368,16806,0.0,6.4099998474,1.3700000048,3.4700000286,0.0,104,31,230,1002,1,3086
369,15266,5.1898498535,5.8000001907,0.7599999905,4.7899999619,0.0500000007,70,21,292,1057,1,2886
370,12084,4.8363800049,4.3899998665,0.4600000083,4.2899999619,0.0,50,6,284,1030,1,2676
371,13513,4.8357200623,5.3499999046,0.3300000131,4.5599999428,0.0,64,8,270,1098,1,2811
372,14100,4.8759899139,5.0999999046,1.1900000572,4.2800002098,0.0,61,33,265,1015,1,2840
373,12627,4.8423199654,4.6999998093,0.7400000095,4.2100000381,0.0,54,22,301,1063,1,2871
374,10345,0.0,0.0700000003,0.2700000107,6.5799999237,0.0,2,6,358,1074,1,2613
375,10146,0.0,0.0700000003,0.6100000143,6.1100001335,0.0,1,12,397,1030,1,2700
376,12168,0.0,1.0499999523,0.7900000215,6.2899999619,0.0,18,27,375,1020,1,2871
378,11463,0.0,2.8299999237,1.8899999857,2.9300000668,0.0,38,30,154,777,1,2496
384,14604,0.0,7.2300000191,1.1200000048,2.4300000668,0.0299999993,76,30,127,695,1,2862
390,20188,0.0,12.0600004196,0.8500000238,2.7100000381,0.0,124,19,172,1125,1,3377
391,25701,0.0,16.8199996948,1.6299999952,1.6900000572,0.0,165,36,97,1142,1,3697
392,17395,0.0,9.6700000763,0.1800000072,3.3499999046,0.0,100,4,213,1123,1,3209
393,17167,0.0,9.9600000381,0.3100000024,3.1400001049,0.0,98,8,184,1150,1,3167
394,16435,0.0,8.9600000381,0.5500000119,2.9100000858,0.0,100,14,191,1135,1,3122
395,17078,0.0,9.970000267,0.2399999946,2.9900000095,0.0,101,6,190,1143,1,3176
396,11693,0.0,6.7699999809,0.2599999905,2.5,0.0,60,6,153,1221,1,2790
397,11159,0.0,6.6900000572,0.25,2.1900000572,0.0,59,6,120,1255,1,2715
398,10118,0.0,3.0499999523,0.8000000119,3.8800001144,0.0,30,18,207,1185,1,2684
399,16064,0.0,9.9799995422,0.3600000143,2.3800001144,0.0,96,8,155,1181,1,3097
408,12026,0.0,5.6999998093,0.9300000072,2.5099999905,0.0,47,13,150,1230,1,2162
413,14179,0.0,6.2300000191,1.0599999428,3.9600000381,0.0,73,21,195,719,1,3669
416,13935,2.0921471119,4.0900001526,0.7900000215,6.1700000763,0.0,105,16,220,658,1,4234
417,12846,2.2530810833,5.0,0.75,4.4400000572,0.0,113,15,189,686,1,4128
