,online_order,book_table,votes,location,rest_type,cuisines,menu_item,Cluster,Labels
7,1,1,2556,0,3,7,0,1,600.0
38,1,0,4884,3,0,32,0,1,750.0
86,1,0,4401,3,0,69,0,1,600.0
207,1,1,2339,3,0,131,0,1,1.5
769,0,0,4460,1,2,33,0,1,150.0
863,1,1,2487,12,11,282,0,1,900.0
865,1,0,3178,12,0,32,183,1,750.0
868,0,1,3845,8,0,285,0,1,1.6
909,1,1,4381,8,3,7,199,1,600.0
