,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
252,3271,0.0,0.0,0.0,2.1900000572,0.0,0,0,205,898,0,2133
254,3146,0.0,0.0,0.0,2.1099998951,0.0,0,0,171,1269,0,2058
255,2422,0.0,0.0,0.0,1.6299999952,0.0,0,0,110,1330,0,1935
263,278,0.0,0.0,0.0,0.1899999976,0.0,0,0,20,253,0,745
265,3183,0.0,0.0,0.0,2.0999999046,0.0,0,0,173,1180,0,1680
275,1260,0.0,0.0,0.0,0.8199999928,0.0,0,0,76,555,0,722
290,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,0
292,2937,0.0,0.0,0.0,1.9099999666,0.0,0,0,181,356,0,1615
293,1515,0.0,0.0,0.0,0.9900000095,0.0,0,0,93,507,0,1481
302,3436,0.0,0.5,0.6700000167,1.0499999523,0.0,7,11,50,61,0,633
313,2862,0.0,1.0399999619,0.25,0.8399999738,0.0,39,17,54,209,0,1511
316,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1496
323,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,0
326,0,0.0,0.0,0.0,0.0,0.0,33,0,0,1407,0,2664
327,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
328,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
329,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
330,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
331,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
332,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,2060
333,0,0.0,0.0,0.0,0.0,0.0,20,0,0,494,0,735
334,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1820
335,2101,2.0277729034,2.0299999714,0.0,0.0,0.0,46,0,0,1394,0,2224
336,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1820
337,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1820
339,165,0.0,0.0,0.0,0.1299999952,0.0,0,0,8,1432,0,1849
340,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1822
341,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1820
342,0,0.0,0.0,0.0,0.0,0.0,0,0,0,198,0,251
344,1988,0.0,0.0,0.0,1.4299999475,0.0,0,0,79,909,0,2207
345,1577,0.0,0.0700000003,0.8899999857,0.1700000018,0.0,1,17,8,1414,0,1977
346,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1841
351,14,0.0,0.0,0.0,0.0099999998,0.0,0,0,1,601,0,787
379,87,0.0,0.0,0.0,0.0099999998,0.0,0,0,2,872,0,1641
