,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
25,4506,0.0,0.5099999905,0.2700000107,2.1500000954,0.0099999998,7,4,144,1285,2,1498
26,9218,0.0,0.0,0.0,5.9699997902,0.0099999998,0,0,221,1219,2,1541
33,6344,0.0,0.0,0.0,4.0999999046,0.0,0,0,143,1297,2,1409
35,3910,0.0,0.4699999988,0.25,1.8099999428,0.0099999998,7,7,186,1240,2,1555
37,6627,0.0,0.0,0.0,4.3099999428,0.0,0,0,89,604,2,706
38,4636,0.0,0.0,0.7799999714,2.5999999046,0.0299999993,0,16,586,838,2,3323
43,8046,0.0,1.2899999619,2.1199998856,2.4500000477,0.0,18,41,137,1244,2,2925
45,7842,0.0,0.4799999893,2.4100000858,2.8099999428,0.0,7,43,161,1229,2,2928
48,6847,0.0,0.6100000143,0.3700000048,3.5499999523,0.0,9,9,251,1171,2,1969
49,5367,0.0,0.0,0.0,3.5499999523,0.0,0,0,263,1177,2,1889
54,6344,0.0,0.0,0.0,4.1900000572,0.0,0,0,290,1150,2,1965
55,5316,0.0,0.0,0.0,3.5099999905,0.0,0,0,221,1219,2,1824
56,4979,0.0,0.0,0.0,3.2899999619,0.0,0,0,184,620,2,1807
57,6556,0.0,0.0,0.0,4.3299999237,0.0,0,0,305,810,2,1971
58,5430,0.0,0.0,0.0,3.5899999142,0.0,0,0,251,1189,2,1888
60,4317,0.0,0.0,0.3700000048,2.6199998856,0.0,0,11,192,854,2,2590
61,5662,0.0,0.0,0.0,3.9200000763,0.0,0,0,267,858,2,2783
73,5477,0.0,0.0,0.0,3.8399999142,0.0,0,0,237,1203,2,2040
83,6717,0.0,3.2300000191,0.2199999988,1.2699999809,0.0,41,5,67,551,2,1140
87,6679,0.0,0.0,0.0,4.1399998665,0.0,0,0,263,644,2,1583
88,5645,0.0,0.0,0.0,3.5,0.0,0,0,248,621,2,1538
93,5142,0.0,0.0,0.0,3.1900000572,0.0,0,0,230,654,2,1515
100,4931,0.0,0.0,0.0,3.3199999332,0.0,0,0,175,1265,2,1708
101,6999,0.0,0.0,0.0,4.7199997902,0.0,0,0,320,1120,2,1950
104,4863,0.0,0.0599999987,0.4199999869,2.7999999523,0.0,1,11,208,1220,2,1772
110,6760,0.0,0.0,0.0,4.4699997902,0.0,0,0,250,613,2,1929
111,8328,0.0,0.0,2.0,3.5,0.0,0,33,212,804,2,1935
