,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
113,7485,0.0,0.0,0.0,4.9499998093,0.0,0,0,324,491,2,2035
125,7640,0.0,0.1899999976,0.8000000119,4.1500000954,0.0,3,15,315,1107,2,1845
127,8432,0.0,0.0,0.0,5.6500000954,0.0099999998,0,0,374,1066,2,1953
128,7350,0.0,0.0,0.0,4.9400000572,0.0,0,0,382,1058,2,1910
129,9353,0.0,0.3700000048,0.6899999976,5.2399997711,0.0,5,17,363,1055,2,2035
130,7157,0.0,0.0,0.0,4.8099999428,0.0,0,0,380,1060,2,1944
132,5290,0.0,0.0399999991,0.3400000036,3.1700000763,0.0,1,8,251,1180,2,1724
133,7497,0.0,0.0,0.0,5.0399999619,0.0,0,0,357,882,2,1741
139,4126,3.2186880112,0.0,0.0,3.2200000286,0.0,0,0,720,720,2,2881
143,5785,0.0,0.0,0.0,3.9100000858,0.0399999991,0,0,311,1129,2,1852
144,7625,0.0,1.6799999475,0.0399999991,3.5,0.0099999998,24,1,341,1074,2,2069
145,4706,0.0,0.0,0.0,3.2100000381,0.0,0,0,299,1141,2,1816
146,5861,0.0,1.2999999523,0.2199999988,2.4900000095,0.0099999998,20,7,233,1180,2,1878
147,4460,0.0,0.0,0.0,3.0199999809,0.0299999993,0,0,248,1192,2,1787
148,6406,0.0,0.7799999714,0.0900000036,3.5199999809,0.0099999998,17,4,325,1094,2,2010
149,7392,0.0,0.8700000048,0.1599999964,4.0500001907,0.0199999996,14,9,332,1085,2,2038
150,5551,0.0,0.0,0.0,3.7699999809,0.0099999998,0,0,282,1158,2,1815
151,8827,0.0,1.7699999809,0.4799999893,4.0,0.0099999998,21,10,346,1063,2,2062
152,4662,0.0,1.0399999619,0.150000006,1.9900000095,0.0,22,4,152,735,2,1276
153,4499,0.0,0.0,0.0,3.0099999905,0.0,0,0,168,842,2,1288
154,7618,0.0,0.0,0.1800000072,4.9099998474,0.0,0,6,302,842,2,1490
159,8422,0.0,0.0,3.5999999046,2.0399999619,0.0,0,81,139,815,2,1431
165,5543,0.0,0.0,0.0,3.9600000381,0.0099999998,0,0,254,757,2,2990
168,5906,0.0,0.0,0.1599999964,4.0399999619,0.0,0,10,215,874,2,3016
170,8940,0.0,0.0,0.0,0.6100000143,0.0399999991,0,0,47,986,2,3706
172,5702,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,2980
174,8778,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3348
175,6662,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3162
176,6309,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3140
178,5563,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3681
179,4370,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3444
180,7144,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2,3510
182,4152,0.0,0.0,0.0,2.9600000381,0.0,0,0,187,1253,2,2976
183,5400,0.0,0.0,0.0,3.8499999046,0.0,0,0,258,795,2,3418
184,7428,0.0,0.8700000048,0.9200000167,3.5099999905,0.0,18,33,261,860,2,3439
185,5351,0.0,0.6200000048,0.1800000072,3.0099999905,0.0,15,17,210,748,2,3338
186,4299,0.0,0.0900000036,0.2099999934,2.7400000095,0.0399999991,3,15,162,752,2,2892
187,6107,0.0,0.0,0.0,4.3600001335,0.0,0,0,265,776,2,3313
188,6429,0.0,0.0,0.9499999881,3.6500000954,0.0,0,28,193,741,2,3118
189,6880,0.0,0.5,0.7599999905,3.6500000954,0.0,7,19,165,1249,2,2966
190,7476,0.0,0.0,0.0,5.3099999428,0.0,0,0,263,920,2,3253
191,6581,0.0,0.0,0.2899999917,4.3899998665,0.0,0,8,241,1191,2,3032
193,7734,0.0,1.1599999666,0.4900000095,3.8199999332,0.0599999987,20,12,223,1185,2,3264
194,5129,0.0,0.1800000072,0.2399999946,3.2100000381,0.0099999998,5,7,176,1178,2,2817
199,8433,0.0,2.4500000477,0.3300000131,3.4400000572,0.0,30,7,135,1268,2,2453
207,5561,0.0,0.0,0.0,4.0700001717,0.0,0,0,169,1271,2,2296
208,7239,0.0,0.5500000119,0.3600000143,4.3800001144,0.0,7,7,190,1236,2,2484
214,5137,0.0,0.0,0.0,3.7599999905,0.0,0,0,160,1280,2,2293
215,5419,0.0558429994,0.0,0.0,3.9100000858,0.0599999987,0,0,145,1295,2,2259
224,8426,0.0,0.1299999952,5.4899997711,0.5400000215,0.0,2,120,25,1293,2,2360
227,6801,0.0,0.0,0.0,4.9699997902,0.0,0,0,193,1247,2,2393
229,5643,0.0,0.2300000042,0.3300000131,3.2300000191,0.0,3,8,199,683,2,1958
230,9043,0.0,0.25,0.4300000072,5.3699998856,0.0,4,12,244,702,2,2141
231,8144,0.0,0.25,0.6100000143,4.6100001335,0.0,4,17,247,1125,2,2129
232,9343,0.0,0.9599999785,0.8500000238,4.4600000381,0.0,14,20,268,654,2,2216
233,8405,0.0,1.1299999952,0.1899999976,4.3400001526,0.0,15,4,257,621,2,2154
234,8223,0.0,0.8000000119,1.5099999905,3.2100000381,0.0,12,37,257,551,2,2178
236,8359,0.0,0.2300000042,0.5299999714,4.8699998856,0.0,3,14,311,638,2,2201
238,9130,0.0,0.5,0.3799999952,5.2699999809,0.0,7,11,304,668,2,2236
239,6544,0.0,0.2899999917,0.2599999905,3.8599998951,0.0,4,6,276,1132,2,2069
251,4804,0.0,0.0,0.0,3.2200000286,0.0,0,0,238,786,2,2227
253,5406,0.0,0.0,0.0,3.6099998951,0.0,0,0,273,672,2,2317
256,4239,0.0,0.0599999987,0.2399999946,2.5299999714,0.0,1,6,235,702,2,2217
257,6911,0.0,2.3199999332,0.1000000015,2.3599998951,0.0,28,2,215,745,2,2374
258,6667,0.0,2.0199999809,0.0500000007,2.5499999523,0.0,24,1,208,939,2,2335
259,5543,0.0,0.0,0.0,3.7200000286,0.0,0,0,266,941,2,2303
260,4195,0.0,0.0,0.0,2.8099999428,0.0,0,0,239,758,2,2210
261,6625,0.0,0.0,0.0,4.4499998093,0.0,0,0,316,755,2,2424
262,5986,0.0,1.9500000477,0.2300000042,1.9500000477,0.0,23,5,195,789,2,2297
264,5336,0.0,0.0,0.0,3.5299999714,0.0,0,0,258,1182,2,1902
266,6176,0.0,0.0700000003,0.2599999905,3.75,0.0,1,7,269,886,2,1901
267,8205,0.0,0.0,0.0,5.4200000763,0.0,0,0,367,1073,2,2078
268,6799,0.0,1.5900000334,0.8600000143,2.0399999619,0.0,24,14,185,1217,2,1876
269,5668,0.0,0.0,0.0,3.75,0.0,0,0,259,1181,2,1853
270,7998,0.0,0.5099999905,0.25,4.5300002098,0.0,27,12,296,1105,2,2235
271,4195,0.0,0.0,0.0,2.7699999809,0.0,0,0,241,1199,2,1778
272,5512,0.0,0.0,0.0,3.6400001049,0.0,0,0,276,1164,2,1882
273,6263,0.0,0.0,0.0,4.1300001144,0.0,0,0,290,1150,2,1906
274,8828,0.0,0.0,0.0,5.8400001526,0.0,0,0,308,1132,2,2149
276,6506,0.0,0.3300000131,0.2700000107,4.6700000763,0.0,4,5,241,760,2,2886
277,7583,0.0,0.25,0.5500000119,5.3499999046,0.0,3,13,227,742,2,2915
278,6963,0.0,0.0,0.0,5.6500000954,0.0,0,0,256,759,2,2895
279,7165,0.0,0.0,0.3700000048,5.4400000572,0.0,0,9,248,708,2,2923
282,7810,0.0,0.4799999893,1.2000000477,4.6799998283,0.0,6,27,216,746,2,2931
283,6670,0.0,1.2400000095,0.8000000119,3.3699998856,0.0,15,16,199,770,2,2848
284,7605,0.0,0.3300000131,0.2099999934,5.6300001144,0.0,4,4,248,708,2,2943
285,6585,0.0,0.0,0.0,5.3400001526,0.0,0,0,210,770,2,2822
286,8184,0.0,0.0,0.6200000048,5.9499998093,0.0,0,15,247,808,2,2981
289,6499,0.0,0.0,0.0,5.2699999809,0.0,0,0,207,809,2,2677
294,8921,0.0,2.0699999332,0.4399999976,3.3599998951,0.0,27,8,198,754,2,1892
299,4599,0.0,0.0,0.0,3.0,0.0,0,0,176,578,2,1692
300,5594,0.0,0.2800000012,1.4800000191,1.8899999857,0.0,4,25,150,552,2,1712
306,7401,0.0,2.3199999332,0.3600000143,2.8800001144,0.0,70,19,204,689,2,3492
307,8964,0.0,3.9700000286,0.1899999976,2.5299999714,0.0,107,18,145,756,2,3597
309,4499,0.0,0.8899999857,0.2599999905,2.2100000381,0.0,31,11,146,756,2,2775
310,4363,0.0,0.1299999952,0.0599999987,3.0799999237,0.0,8,2,156,813,2,2486
314,7444,0.0,0.0,0.0,5.6199998856,0.0,0,0,286,568,2,2210
317,8468,0.0,0.1800000072,0.6399999857,5.5700001717,0.0,2,11,279,1148,2,2262
320,4853,0.0,0.0,0.0,3.6600000858,0.0,0,0,156,770,2,1903
321,8955,0.0,0.0,0.0,6.7300000191,0.0,0,0,422,1018,2,2482
324,6633,0.0,0.0,0.0,5.0100002289,0.0,0,0,280,1160,2,2778
325,9548,0.0,2.0199999809,3.6800000668,1.5199999809,0.0,25,107,113,1195,2,3119
343,7225,0.0,1.7300000191,1.2699999809,2.1800000668,0.0,25,50,163,1189,2,3065
347,9348,0.0,1.1299999952,2.0399999619,3.1400001049,0.0,56,133,240,1011,2,4286
350,4131,0.0,1.3700000048,0.6100000143,0.9800000191,0.0,27,30,75,1308,2,2584
365,5893,0.0,2.8800001144,0.5600000024,0.4600000083,0.0,43,9,48,146,2,917
377,7413,4.8697829247,4.5,0.3400000036,0.9399999976,0.0,53,6,43,405,2,1023
381,6101,0.0,0.5299999714,0.2300000042,3.0999999046,0.0,31,24,138,1247,2,2421
382,7478,0.0,1.7999999523,0.5299999714,2.6099998951,0.0299999993,25,33,132,1159,2,2439
383,7352,0.0,1.4099999666,0.7799999714,2.5299999714,0.0,19,14,124,814,2,2233
385,9634,0.0,2.5,1.3999999762,2.5899999142,0.0,50,48,140,797,2,2752
386,7338,0.0,1.0800000429,0.1299999952,3.4600000381,0.0,27,5,204,717,2,2519
388,6242,0.0,0.7400000095,0.2300000042,2.9300000668,0.0,46,22,126,741,2,2543
407,5181,0.0,1.0,0.9100000262,1.5099999905,0.0099999998,15,15,107,1303,2,1776
409,5360,0.0,0.5400000215,1.5499999523,1.4600000381,0.0,8,28,148,1256,2,1832
415,9152,0.0,1.9900000095,0.8199999928,4.4499998093,0.0,25,13,243,600,2,3304
