,online_order,book_table,votes,location,rest_type,cuisines,menu_item,Cluster,Labels
3,0,0,88,0,2,3,0,0,300.0
4,0,0,166,1,0,4,0,0,600.0
5,1,0,286,1,0,5,0,0,600.0
6,0,0,8,2,0,6,0,0,800.0
8,1,0,324,0,4,8,0,0,700.0
10,1,0,402,0,4,10,0,0,500.0
11,1,1,150,0,4,8,0,0,600.0
12,1,1,164,0,4,11,0,0,500.0
13,0,0,424,0,4,12,0,0,450.0
15,1,0,90,0,4,10,0,0,650.0
16,1,0,133,0,4,13,0,0,800.0
17,1,0,144,0,4,14,0,0,700.0
18,0,0,93,0,4,15,0,0,300.0
19,1,0,13,0,4,11,0,0,400.0
20,1,0,62,0,4,16,0,0,400.0
21,1,0,180,0,4,17,0,0,500.0
22,0,0,28,0,4,18,0,0,900.0
23,1,0,62,0,5,19,0,0,600.0
24,0,0,31,0,4,10,0,0,300.0
25,0,0,11,0,4,20,0,0,600.0
26,1,0,75,0,6,21,0,0,200.0
27,0,0,4,0,4,22,0,0,500.0
28,0,0,23,0,4,18,0,0,550.0
29,0,0,148,1,3,23,0,0,550.0
30,1,0,219,1,4,24,0,0,600.0
32,1,0,35,0,7,26,1,0,500.0
33,1,0,172,0,7,27,0,0,750.0
34,1,0,415,0,2,28,2,0,500.0
35,1,0,230,0,7,29,0,0,650.0
36,1,0,91,0,2,30,0,0,400.0
39,1,0,17,0,2,33,3,0,150.0
40,1,0,133,1,2,34,0,0,200.0
41,0,0,28,0,8,33,0,0,300.0
42,1,0,286,0,2,35,0,0,500.0
45,0,0,36,0,7,37,0,0,400.0
46,1,0,244,4,2,38,4,0,300.0
49,1,0,245,4,2,41,6,0,300.0
50,0,0,21,0,2,5,0,0,450.0
51,1,0,28,6,2,42,7,0,150.0
52,0,0,345,0,9,43,0,0,400.0
56,1,0,104,0,2,47,0,0,300.0
57,1,1,354,0,0,48,0,0,800.0
58,0,0,55,0,2,49,0,0,200.0
59,1,0,17,0,9,50,0,0,400.0
60,0,0,244,0,0,51,0,0,800.0
61,1,1,163,4,0,52,0,0,800.0
62,1,0,58,1,2,53,0,0,150.0
64,0,0,78,0,10,54,0,0,150.0
66,1,0,34,3,2,33,9,0,100.0
68,0,0,39,0,12,26,0,0,300.0
69,1,0,71,1,2,57,0,0,600.0
70,1,0,6,0,13,58,0,0,500.0
72,0,0,0,0,2,5,0,0,150.0
73,0,0,84,0,7,60,0,0,700.0
74,0,0,299,0,2,61,0,0,300.0
75,0,0,0,0,13,34,0,0,500.0
77,1,0,28,0,2,62,0,0,300.0
78,0,0,22,0,2,63,0,0,500.0
79,0,0,39,0,2,64,0,0,350.0
80,1,0,153,6,14,65,0,0,500.0
81,1,0,146,0,15,66,0,0,400.0
82,0,0,14,0,16,67,0,0,200.0
83,0,0,42,0,0,38,0,0,700.0
84,0,0,0,0,2,68,0,0,100.0
85,0,0,66,0,12,26,0,0,300.0
87,0,0,31,0,2,5,0,0,200.0
88,0,0,7,0,9,70,0,0,500.0
89,0,0,21,0,2,29,0,0,250.0
90,0,0,0,0,7,26,0,0,500.0
91,0,0,0,0,13,33,0,0,400.0
92,0,0,0,0,8,33,0,0,200.0
93,0,0,9,0,9,71,0,0,300.0
